Da li je glavni grad Francuske?;Pariz;Berlin;1;0
Koja rec oznacava strah od pauka?;Arachnophobia;Acrophobia;1;0
Ko je autor Romea i Julije?;Vilijam Sekspir;Dostojevski;1;0
Koji je najveci kontinent na svetu?;Azija;Evropa;1;0
Koji je glavni grad Australije?;Sidnej;Kanbera;2;0
Koja planeta je poznata kao Crvena planeta?;Venera;Mars;2;0
Koja je najduza reka na svetu?;Amazon;Nil;2;0
Ko je osnivac kompanije Microsoft?;Bil Gejts;Stiv Dzobs;1;0
Koja je najvisa planina na svetu?;K2;Mont Everest;2;0
Koji je hemijski simbol za srebro?;Ag;Au;1;0
Koja je najveca drzava na svetu po povrsini?;Rusija;Kina;1;0
Koji je najveci pustinjski sistem na svetu?;Sahara;Gobi;1;0
Koji je najduzi dan u godini?;Letnji solsticijum;Zimski solsticijum;1;0
Ko je autor knjige Rat i mir?;Lav Tolstoj;Fjodor Dostojevski;1;0
Koja je najmanja kost u ljudskom telu?;Stremen;Kuk;1;0
Koja je najveca zivotinja koja ikada zivela na Zemlji?;Plavi kit;Diplodokus;1;0
Koji je glavni grad Argentine?;Buenos Aires;Rio de Janeiro;1;0
Koja je najcesca krvna grupa?;A;O;2;0
Ko je osnivac kompanije Tesla Motors?;Elon Musk;Bill Gates;1;0
Koji je najcesci gas u Zemljinom vazduhu?;Azot;Kiseonik;1;0
Koja reka tece kroz Egipat?;Nil;Tigar;1;0
Koja drzava ima najvise jezera na svetu?;Kanada;Rusija;1;0
Koji je glavni grad Turske?;Ankara;Istanbul;1;0
Ko je bio prvi predsednik SAD-a?;Dzordz Vasington;Tomas Dzeferson;1;0
Koja je najveca planina u Srbiji?;Stara Planina;Tara;1;0
Koja je najveca pustinja u Australiji?;Gibsonova pustinja;Velika pesčana pustinja;1;0
Koja je najcesca boja ociju kod ljudi?;Smedja;Plava;1;0
Ko je napisao "Ilijadu"?;Homer;Sofokle;1;0
Koja je najveca reka u Evropi?;Volga;Dunav;1;0
Koji grad se cesto naziva "Venecija Severa"?;Amsterdam;Sankt Peterburg;2;0
Ko je napisao "Romeo i Julija"?;Vilijam Sekspir;Dante Aligijeri;1;0
Ko je autor "Harry Potter" serijala?;J.K. Rowling;J.R.R. Tolkien;1;0
Koji je najveci svetski proizvodjac automobila?;Toyota;Volkswagen;1;0
Koja je najstarija svetska religija?;Hinduizam;Budizam;1;0
Ko je napisao "Mali princ"?;Antoan de Sent Egziperi;F Skot Ficdzerald;1;0
Koji je najveci kontinent prema broju stanovnika?;Azija;Afrika;1;0
Koja je najveca drzava Juzne Amerike?;Brazil;Argentina;1;0
Koja je najstarija civilizacija na svetu?;Sumeri;Egipcani;1;0
Koji je najveci otok na svetu?;Grenland;Australija;1;0
Ko je osnivac kompanije Apple?;Stiv Dzobs;Bil Gejts;1;0
Koji je najduzi most na svetu?;Danyang Kunshan;Akashi Kaikyo;2;0
Ko je bio prvi covek u svemiru?;Juri Gagarin;Nil Armstrong;1;0
Koji je najveci vodopad na svetu?;Andjeoski vodopad;Viktorijini vodopadi;2;0
Ko je napisao "1984"?;Dzordz Orvel;Aldous Haksli;1;0
Ko je bio prvi predsednik Rusije?;Boris Jeljcin;Vladimir Putin;1;0
Koja je najbrza kopnena zivotinja?;Gepard;Jaguar;1;0
Koji je najstariji grad na svetu?;Damasak;Jerusalim;2;0
Ko je pronasao Penicilin?;Aleksandar Fleming;Luj Paster;1;0
Koja je najveca religija na svetu?;Hriscanstvo;Islam;1;0
Koja je najveca drzava na Balkanu?;Srbija;Rumunija;1;0
